task,model,quantization,chat_mode,cohens_d,n_pos,n_neg
freshqa_false_premise,Qwen/Qwen2.5-0.5B-Instruct,none,auto,-0.04786296729132487,147,452
freshqa_false_premise,Qwen/Qwen2.5-0.5B-Instruct,none,off,-0.10825261282227198,147,452
freshqa_false_premise,Qwen/Qwen2.5-14B-Instruct,4bit,auto,-0.4669406679073288,147,452
freshqa_false_premise,Qwen/Qwen2.5-14B-Instruct,4bit,off,-0.0696003772938825,147,452
freshqa_false_premise,Qwen/Qwen2.5-32B-Instruct,4bit,auto,0.8844518319543492,147,452
freshqa_false_premise,Qwen/Qwen2.5-32B-Instruct,4bit,off,-0.1238510320325189,147,452
freshqa_false_premise,Qwen/Qwen2.5-72B-Instruct,4bit,auto,0.4592844493156343,147,452
freshqa_false_premise,Qwen/Qwen2.5-7B-Instruct,none,auto,-0.9589968466093731,147,452
freshqa_false_premise,Qwen/Qwen2.5-7B-Instruct,none,off,0.22685738925322713,18,53
freshqa_false_premise,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,auto,-0.17154735283343467,147,452
freshqa_false_premise,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,off,-0.49944965691610044,147,452
freshqa_false_premise,mistralai/Mistral-Nemo-Instruct-2407,none,auto,-0.15391387226607506,147,452
freshqa_false_premise,mistralai/Mistral-Nemo-Instruct-2407,none,off,-0.761842572745752,147,452
freshqa_false_premise,mistralai/Mixtral-8x7B-Instruct-v0.1,4bit,auto,-0.4019863362109406,147,452
freshqa_false_premise,mistralai/Mixtral-8x7B-Instruct-v0.1,4bit,off,-1.051013015619291,147,452
halueval,Qwen/Qwen2.5-0.5B-Instruct,none,auto,0.30809005212278723,1015,985
halueval,Qwen/Qwen2.5-0.5B-Instruct,none,off,-1.4941190634179968,1015,985
halueval,Qwen/Qwen2.5-14B-Instruct,4bit,auto,-0.5138207409778294,512,488
halueval,Qwen/Qwen2.5-14B-Instruct,4bit,off,-0.9468498281548308,512,488
halueval,Qwen/Qwen2.5-32B-Instruct,4bit,auto,0.6983722810262251,512,488
halueval,Qwen/Qwen2.5-32B-Instruct,4bit,off,-1.1203198880903942,512,488
halueval,Qwen/Qwen2.5-72B-Instruct,4bit,auto,-0.005781254576952726,512,488
halueval,Qwen/Qwen2.5-7B-Instruct,none,auto,-0.12512585814271343,1014,984
halueval,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,auto,0.32636997815677804,1015,985
halueval,TinyLlama/TinyLlama-1.1B-Chat-v1.0,none,off,-1.3674713536493501,1015,985
