abs_delta,delta,head,layer
0.05114871906299212,0.05114871906299212,3,16
0.04023844768656759,0.04023844768656759,12,16
0.03858057657877606,0.03858057657877606,3,17
0.03833798657764087,0.03833798657764087,3,14
0.03524998558183828,0.03524998558183828,12,20
0.03383486804265176,0.03383486804265176,6,20
0.03216655709101768,0.03216655709101768,5,20
0.030445126713703474,0.030445126713703474,10,19
0.029756142653246,0.029756142653246,2,19
0.028654737693528276,0.028654737693528276,13,16
0.02655306883461761,0.02655306883461761,5,15
0.02507319828618232,0.02507319828618232,1,15
0.02467058537903105,0.02467058537903105,4,18
0.02403398981706345,0.02403398981706345,2,20
0.02335588684481521,0.02335588684481521,1,20
0.021681907820829016,0.021681907820829016,5,16
0.021407754450983307,-0.021407754450983307,8,6
0.01952623720687552,0.01952623720687552,9,13
0.019045789930272283,-0.019045789930272283,2,21
0.01876922119110025,-0.01876922119110025,5,6
0.018625611343060844,0.018625611343060844,4,19
0.018423672028403892,0.018423672028403892,1,17
0.018225646380222227,0.018225646380222227,13,13
0.01724341129236684,-0.01724341129236684,0,11
0.017179994394009968,0.017179994394009968,5,13
