abs_delta,delta,head,layer
0.10212920971309958,-0.10212920971309958,5,20
0.049644671202259794,0.049644671202259794,15,20
0.04963799384828227,0.04963799384828227,9,26
0.04931693873892812,-0.04931693873892812,0,22
0.04893986645752821,-0.04893986645752821,3,20
0.04597069772693757,0.04597069772693757,16,25
0.04592908681754314,-0.04592908681754314,25,21
0.045347307146495486,-0.045347307146495486,10,23
0.04204479136118078,0.04204479136118078,12,26
0.039293972997299864,-0.039293972997299864,0,20
0.03702952397271175,-0.03702952397271175,1,20
0.03566139968291665,-0.03566139968291665,21,24
0.034890068297325244,0.034890068297325244,2,24
0.0337508866734344,-0.0337508866734344,25,26
0.03158958973784895,-0.03158958973784895,4,20
0.030772886839754765,0.030772886839754765,17,22
0.030614374732029714,-0.030614374732029714,23,24
0.030435476458169575,-0.030435476458169575,16,23
0.030418886920993204,-0.030418886920993204,23,20
0.027138675442971383,-0.027138675442971383,0,26
0.02697411025165819,0.02697411025165819,14,25
0.026658089443366284,0.026658089443366284,18,22
0.02661567916022778,-0.02661567916022778,22,19
0.02550838630512342,-0.02550838630512342,3,23
0.025045724813669568,-0.025045724813669568,10,25
