abs_delta,delta,head,layer
0.09167714404335275,-0.09167714404335275,5,19
0.08819569234674396,0.08819569234674396,17,29
0.08694320627202223,-0.08694320627202223,12,18
0.08017298873805878,0.08017298873805878,18,20
0.07524240357305123,0.07524240357305123,21,18
0.06413257049134097,-0.06413257049134097,6,31
0.05972189722520971,0.05972189722520971,23,17
0.05957988848225271,0.05957988848225271,20,30
0.05836979785503782,-0.05836979785503782,4,31
0.05801045545353656,0.05801045545353656,22,30
0.05751221333572759,0.05751221333572759,29,22
0.05729992294562458,0.05729992294562458,16,18
0.05637990413488403,-0.05637990413488403,17,20
0.055563799063771624,-0.055563799063771624,20,31
0.05519466533976469,-0.05519466533976469,5,24
0.05496139257181276,0.05496139257181276,28,29
0.054722182234032246,-0.054722182234032246,14,20
0.054549505037721824,-0.054549505037721824,17,31
0.0543080229160825,0.0543080229160825,17,21
0.05232079476803342,-0.05232079476803342,29,27
0.051697362578678685,-0.051697362578678685,8,16
0.051473019964375255,0.051473019964375255,16,25
0.050780418016027506,-0.050780418016027506,25,27
0.050242680006298945,-0.050242680006298945,18,26
0.04904938757049407,-0.04904938757049407,22,16
