abs_delta,delta,head,layer
0.0010256600180270983,-0.0010256600180270983,2,0
0.0006948648157090453,-0.0006948648157090453,0,0
0.0004763143962796257,0.0004763143962796257,7,0
0.00047566373700940606,-0.00047566373700940606,4,0
7.899691040079058e-05,7.899691040079058e-05,9,0
7.820066520433395e-05,7.820066520433395e-05,11,0
2.4453506660559012e-05,2.4453506660559012e-05,5,0
2.2475157929052096e-05,2.2475157929052096e-05,8,0
6.047840420813563e-07,6.047840420813563e-07,10,0
3.2556207874153307e-07,-3.2556207874153307e-07,6,0
nan,nan,8,18
nan,nan,1,19
nan,nan,2,19
nan,nan,0,19
nan,nan,11,18
nan,nan,10,18
nan,nan,9,18
nan,nan,7,18
nan,nan,2,18
nan,nan,5,18
nan,nan,4,18
nan,nan,3,18
nan,nan,3,19
nan,nan,1,18
nan,nan,0,18
