abs_delta,delta,head,layer
0.024466283754771445,0.024466283754771445,0,18
0.02418950009762033,0.02418950009762033,6,21
0.024160572292993898,0.024160572292993898,3,16
0.021525489736777037,0.021525489736777037,6,16
0.021234379100550815,0.021234379100550815,8,21
0.01958570235630601,0.01958570235630601,7,16
0.019169155330246823,0.019169155330246823,12,20
0.016423484568845514,0.016423484568845514,1,18
0.015868931481568982,0.015868931481568982,2,16
0.014458959212854783,0.014458959212854783,10,21
0.013748448006346337,-0.013748448006346337,5,18
0.013549906433918846,-0.013549906433918846,1,20
0.012920774057942674,0.012920774057942674,2,19
0.012783992470629557,0.012783992470629557,3,20
0.012708261944145871,-0.012708261944145871,3,14
0.012635961470718604,0.012635961470718604,6,19
0.012630217356769599,0.012630217356769599,0,16
0.012457180612556296,0.012457180612556296,9,17
0.011628293434249926,0.011628293434249926,11,19
0.011316222563960476,0.011316222563960476,13,16
0.01120907021074935,-0.01120907021074935,11,20
0.011165190507534006,-0.011165190507534006,10,18
0.01111879148321443,0.01111879148321443,13,5
0.01098913093361481,0.01098913093361481,7,19
0.010886473187712853,0.010886473187712853,10,17
