abs_delta,delta,head,layer
0.046186506432830954,0.046186506432830954,0,17
0.04324705811246987,0.04324705811246987,6,16
0.03133512077823519,0.03133512077823519,3,16
0.03085168934372995,0.03085168934372995,6,21
0.02965052946219371,0.02965052946219371,1,18
0.028798344124246533,0.028798344124246533,2,17
0.02766138049502853,0.02766138049502853,8,17
0.026265151365093442,-0.026265151365093442,8,16
0.02557527539591309,0.02557527539591309,12,20
0.02545813142307224,0.02545813142307224,12,19
0.024399251668226207,0.024399251668226207,13,13
0.022473858462439655,0.022473858462439655,10,18
0.02153964616634224,-0.02153964616634224,7,22
0.021342288659363218,-0.021342288659363218,13,23
0.019428434494941915,0.019428434494941915,4,19
0.018450824246204728,0.018450824246204728,0,16
0.01793237696722072,-0.01793237696722072,5,16
0.016363975019366594,0.016363975019366594,3,20
0.016232473020831084,0.016232473020831084,3,17
0.01611783432739755,0.01611783432739755,9,20
0.015906516742454024,-0.015906516742454024,13,21
0.015690517985316177,-0.015690517985316177,13,22
0.015474358437553265,-0.015474358437553265,3,23
0.015333947586634783,-0.015333947586634783,7,23
0.015180728359827922,-0.015180728359827922,10,23
