abs_delta,delta,head,layer
0.11143835776234035,-0.11143835776234035,5,20
0.0938701660566662,-0.0938701660566662,25,21
0.09155470502709795,-0.09155470502709795,23,20
0.07683299196411758,-0.07683299196411758,21,24
0.07302769224898487,-0.07302769224898487,16,18
0.07186594762872112,-0.07186594762872112,24,26
0.06922035839021345,-0.06922035839021345,3,20
0.06815063757940337,-0.06815063757940337,13,23
0.06750161575380553,-0.06750161575380553,20,19
0.0664778010921083,-0.0664778010921083,22,19
0.06515594527247959,-0.06515594527247959,3,25
0.06432627560257376,0.06432627560257376,20,22
0.06294308177619706,-0.06294308177619706,12,22
0.059627623396884544,-0.059627623396884544,5,21
0.05870265356092952,-0.05870265356092952,24,19
0.058332399855923034,0.058332399855923034,8,24
0.05788134629980973,-0.05788134629980973,2,22
0.05448600545068599,-0.05448600545068599,17,20
0.054269095729526595,-0.054269095729526595,26,17
0.05319749878784924,-0.05319749878784924,18,17
0.05253917401518582,0.05253917401518582,1,23
0.05229554826459193,-0.05229554826459193,4,20
0.05001198207832758,-0.05001198207832758,25,24
0.04979794128068632,-0.04979794128068632,16,24
0.04915070130156107,-0.04915070130156107,18,24
