abs_delta,delta,head,layer
0.021174366479571216,-0.021174366479571216,8,20
0.020325118694826838,-0.020325118694826838,6,21
0.01734177936114939,-0.01734177936114939,25,21
0.015405991746251346,-0.015405991746251346,4,5
0.013925610993120674,-0.013925610993120674,29,21
0.013797070976320047,0.013797070976320047,23,18
0.013042046027826382,0.013042046027826382,20,17
0.012955044466083032,-0.012955044466083032,19,19
0.012026275031777944,0.012026275031777944,28,7
0.01182432355890184,-0.01182432355890184,5,5
0.011741611384606221,0.011741611384606221,27,18
0.011611625768438383,0.011611625768438383,5,18
0.010846790069813095,-0.010846790069813095,22,14
0.010807592371178953,0.010807592371178953,30,18
0.010696038740139968,0.010696038740139968,10,20
0.010299101325121407,-0.010299101325121407,0,16
0.010218369472330457,-0.010218369472330457,22,15
0.009973049108233212,0.009973049108233212,29,20
0.00980022979198153,0.00980022979198153,8,16
0.009742479457189313,0.009742479457189313,3,17
0.009691671112822264,-0.009691671112822264,29,5
0.009637917742457092,0.009637917742457092,18,18
0.009283902268938632,0.009283902268938632,10,18
0.009282779852021195,-0.009282779852021195,12,20
0.009114322083156323,0.009114322083156323,7,18
