abs_delta,delta,head,layer
0.0792676242487812,-0.0792676242487812,12,18
0.07921109329910814,0.07921109329910814,16,25
0.07076355213819191,-0.07076355213819191,22,16
0.06629612057883216,-0.06629612057883216,9,30
0.06401017043888757,-0.06401017043888757,31,20
0.060201408079638474,0.060201408079638474,18,25
0.059584183426120874,-0.059584183426120874,25,16
0.05892915936215817,0.05892915936215817,21,18
0.058820505648915056,0.058820505648915056,18,20
0.05849309586180307,-0.05849309586180307,4,31
0.05724931271581801,0.05724931271581801,16,18
0.0569355646902141,-0.0569355646902141,31,31
0.05417488133050996,0.05417488133050996,8,22
0.050101914605003406,0.050101914605003406,17,29
0.05002051368514998,0.05002051368514998,25,29
0.04848373322729049,0.04848373322729049,3,30
0.04796869390356023,0.04796869390356023,13,28
0.04755573088368814,-0.04755573088368814,6,31
0.04648808643516805,-0.04648808643516805,14,20
0.045696732413202656,-0.045696732413202656,19,16
0.044857986115598436,-0.044857986115598436,5,24
0.043692603658847695,-0.043692603658847695,16,20
0.042889126583320336,-0.042889126583320336,15,28
0.04179756968850684,0.04179756968850684,10,30
0.04043965019481621,-0.04043965019481621,30,19
