abs_delta,delta,head,layer
0.06355064206024413,0.06355064206024413,5,18
0.061229912146066545,-0.061229912146066545,29,28
0.05612911349737559,-0.05612911349737559,16,20
0.05272280644194821,0.05272280644194821,11,21
0.045087824121318565,0.045087824121318565,15,20
0.04491300263048714,-0.04491300263048714,23,24
0.04447872896612515,-0.04447872896612515,30,27
0.04028842474042038,-0.04028842474042038,11,28
0.039807909536392516,0.039807909536392516,29,18
0.039528601622293214,-0.039528601622293214,14,24
0.03693880293448415,-0.03693880293448415,19,29
0.035813659994544195,0.035813659994544195,28,21
0.03513305434843983,0.03513305434843983,1,18
0.03463984390820546,-0.03463984390820546,17,26
0.03440668586238005,0.03440668586238005,1,16
0.03229004788405859,0.03229004788405859,10,23
0.031327846427281036,-0.031327846427281036,16,25
0.03108185232234323,0.03108185232234323,23,18
0.030712029922303263,-0.030712029922303263,9,25
0.030591515845052375,-0.030591515845052375,4,18
0.030173857668688603,0.030173857668688603,11,20
0.02996492254773786,0.02996492254773786,19,13
0.029551776529289753,0.029551776529289753,3,22
0.02938316625202747,0.02938316625202747,25,23
0.029278471033069076,0.029278471033069076,30,34
