abs_delta,delta,head,layer
0.04558096154180663,0.04558096154180663,19,30
0.04045486018038097,-0.04045486018038097,23,23
0.03877806268476475,-0.03877806268476475,4,24
0.037794830890271136,0.037794830890271136,29,24
0.03464655992885757,-0.03464655992885757,10,31
0.033659946065059204,0.033659946065059204,13,22
0.03349980840215999,0.03349980840215999,7,22
0.03327760096637922,-0.03327760096637922,4,28
0.032864347359169765,0.032864347359169765,10,23
0.0324688580049462,0.0324688580049462,9,23
0.030257210010907643,-0.030257210010907643,12,31
0.029418091724283613,0.029418091724283613,16,29
0.028893963665621414,0.028893963665621414,28,24
0.027220996376482537,0.027220996376482537,5,24
0.027077543715595398,0.027077543715595398,28,23
0.02699635906334502,0.02699635906334502,25,26
0.026806943658707394,-0.026806943658707394,26,31
0.026335798595990667,0.026335798595990667,12,28
0.026319528499472777,0.026319528499472777,24,8
0.026131920952914278,0.026131920952914278,21,25
0.02526221445647492,-0.02526221445647492,24,31
0.02513769999581905,0.02513769999581905,19,26
0.025000824971445512,0.025000824971445512,26,29
0.024431298710616722,0.024431298710616722,16,22
0.024395199101999304,0.024395199101999304,12,9
