abs_delta,delta,head,layer
0.0021871857155410235,-0.0021871857155410235,0,0
0.001675933529899712,-0.001675933529899712,2,0
0.0011259333913536847,-0.0011259333913536847,9,0
0.0006960289072291317,-0.0006960289072291317,7,0
0.0004359369059380898,-0.0004359369059380898,4,0
0.00013961854757736734,-0.00013961854757736734,5,0
8.13191054590157e-05,8.13191054590157e-05,8,0
7.264738735038409e-05,-7.264738735038409e-05,11,0
1.5730768680681945e-05,-1.5730768680681945e-05,10,0
9.150521516829873e-08,9.150521516829873e-08,6,0
nan,nan,1,19
nan,nan,8,18
nan,nan,2,19
nan,nan,0,19
nan,nan,11,18
nan,nan,10,18
nan,nan,9,18
nan,nan,7,18
nan,nan,2,18
nan,nan,5,18
nan,nan,4,18
nan,nan,3,18
nan,nan,3,19
nan,nan,1,18
nan,nan,0,18
