abs_delta,delta,head,layer
0.020202107130442792,-0.020202107130442792,4,23
0.01827368876452229,-0.01827368876452229,3,23
0.017602829228433314,-0.017602829228433314,4,9
0.017212782220419554,0.017212782220419554,2,21
0.015893505491169246,-0.015893505491169246,17,16
0.015801143265490425,-0.015801143265490425,24,9
0.015774688522713243,-0.015774688522713243,26,9
0.015724785430367705,-0.015724785430367705,17,22
0.015650069959349144,-0.015650069959349144,14,12
0.014698284584055421,-0.014698284584055421,4,22
0.014686453162446877,-0.014686453162446877,10,11
0.014561081977948365,-0.014561081977948365,4,16
0.013954288352380384,-0.013954288352380384,22,13
0.013837390774633862,0.013837390774633862,17,14
0.013723323642169105,-0.013723323642169105,9,9
0.013548990000692651,0.013548990000692651,18,14
0.013519730369596139,-0.013519730369596139,27,13
0.013470961137931114,-0.013470961137931114,24,13
0.013395272619356025,-0.013395272619356025,23,7
0.013150000793731742,0.013150000793731742,1,22
0.012887942164478638,0.012887942164478638,9,22
0.012875010694499367,0.012875010694499367,2,22
0.012574906347797565,0.012574906347797565,21,19
0.0125471434042152,0.0125471434042152,17,20
0.012320076207804509,0.012320076207804509,10,21
