abs_delta,delta,head,layer
0.01967884068339909,-0.01967884068339909,12,8
0.01729464843292261,-0.01729464843292261,17,7
0.014971109681145234,0.014971109681145234,27,18
0.014793826661626874,0.014793826661626874,8,11
0.014156003079432156,0.014156003079432156,18,13
0.01365243499330604,0.01365243499330604,21,11
0.013498928853212189,-0.013498928853212189,18,20
0.0134901876654826,0.0134901876654826,15,6
0.013384864039900912,0.013384864039900912,0,9
0.013335543434507602,-0.013335543434507602,13,8
0.01316949768693415,-0.01316949768693415,22,15
0.012968633943357788,0.012968633943357788,19,18
0.012629703157502836,0.012629703157502836,2,18
0.012600327748907014,0.012600327748907014,17,17
0.012502127102869964,-0.012502127102869964,30,10
0.012350423146902378,-0.012350423146902378,21,15
0.012279484912505356,0.012279484912505356,0,16
0.012043430987984716,0.012043430987984716,7,17
0.011969153337620941,0.011969153337620941,4,5
0.011938493391371208,-0.011938493391371208,25,14
0.011746409906083222,-0.011746409906083222,19,15
0.011384915991385913,-0.011384915991385913,4,11
0.011298153916128983,0.011298153916128983,18,3
0.011123247157964533,-0.011123247157964533,27,21
0.011059210915265405,0.011059210915265405,9,6
