abs_delta,delta,head,layer
0.1020828849536487,-0.1020828849536487,25,29
0.06533768710651278,0.06533768710651278,22,29
0.06465697508139895,0.06465697508139895,20,29
0.04572728648592794,0.04572728648592794,1,31
0.04349044194192436,-0.04349044194192436,29,31
0.04342458868937554,0.04342458868937554,25,30
0.042859840110420155,0.042859840110420155,3,29
0.04134905278148515,0.04134905278148515,1,27
0.038933786385982994,0.038933786385982994,8,29
0.036556695871408695,0.036556695871408695,6,31
0.035150608970188735,-0.035150608970188735,21,29
0.03511084943000187,0.03511084943000187,7,7
0.034099581186174566,-0.034099581186174566,21,30
0.03316591978812261,-0.03316591978812261,11,30
0.030604658001837204,-0.030604658001837204,10,29
0.03051472326124216,-0.03051472326124216,3,31
0.030214825880793883,0.030214825880793883,28,30
0.027852564914896683,0.027852564914896683,25,9
0.02763947458768412,-0.02763947458768412,12,31
0.027494371090214298,0.027494371090214298,1,14
0.027201325140019383,-0.027201325140019383,1,30
0.02699844225704401,0.02699844225704401,13,3
0.02626234842275868,-0.02626234842275868,31,15
0.026030273723171488,-0.026030273723171488,3,30
0.025662016718832115,0.025662016718832115,0,25
