abs_delta,delta,head,layer
0.0470811516553723,-0.0470811516553723,17,20
0.042844261863037136,-0.042844261863037136,12,16
0.03553020073704316,-0.03553020073704316,6,31
0.033801185175286796,-0.033801185175286796,22,16
0.033784659200745804,-0.033784659200745804,17,31
0.03166453355547261,-0.03166453355547261,12,18
0.031529763840388136,-0.031529763840388136,9,19
0.03061364158078539,-0.03061364158078539,27,15
0.030249067889132952,-0.030249067889132952,19,31
0.029098220827591392,-0.029098220827591392,27,31
0.028916442492635752,-0.028916442492635752,17,15
0.02864540530534837,-0.02864540530534837,17,16
0.028101704074856904,-0.028101704074856904,14,31
0.02796593126775304,-0.02796593126775304,30,19
0.02794390747787101,-0.02794390747787101,5,19
0.02772670601245386,-0.02772670601245386,18,27
0.027475986920052264,-0.027475986920052264,4,19
0.027021921823509543,-0.027021921823509543,29,30
0.027021073965364517,-0.027021073965364517,25,17
0.0264212944000487,-0.0264212944000487,25,16
0.026274765706118308,-0.026274765706118308,5,24
0.025977600157313374,-0.025977600157313374,16,19
0.024985891966227913,-0.024985891966227913,15,28
0.024784529810780054,0.024784529810780054,8,22
0.024649350671316295,-0.024649350671316295,8,16
