abs_delta,delta,head,layer
0.058540905811250266,0.058540905811250266,11,21
0.05841982104523413,0.05841982104523413,5,18
0.050251331067577065,-0.050251331067577065,11,28
0.04557476837510477,-0.04557476837510477,29,28
0.045291681452387655,0.045291681452387655,28,21
0.04524062917208155,-0.04524062917208155,24,38
0.044933383442290475,-0.044933383442290475,30,28
0.04307807038831002,-0.04307807038831002,25,14
0.04104246480377144,0.04104246480377144,9,21
0.04075023980643541,0.04075023980643541,0,20
0.04051535304672388,0.04051535304672388,21,20
0.03819300891324828,0.03819300891324828,30,21
0.037693751899405936,0.037693751899405936,1,18
0.03764269932032965,-0.03764269932032965,18,16
0.03755699055305628,0.03755699055305628,14,24
0.03705308456078005,-0.03705308456078005,3,31
0.036559326193202596,0.036559326193202596,9,20
0.036232815833134924,-0.036232815833134924,26,14
0.035690826121290375,0.035690826121290375,11,20
0.035668889175887175,0.035668889175887175,19,25
0.03503218344612946,-0.03503218344612946,1,20
0.034965637632479896,0.034965637632479896,21,31
0.033583584393647364,-0.033583584393647364,5,36
0.0332479305020964,0.0332479305020964,12,19
0.0331901531585361,0.0331901531585361,7,23
