abs_delta,delta,head,layer
0.03723088036545097,-0.03723088036545097,10,31
0.036081969047681794,0.036081969047681794,28,24
0.035117240139677985,0.035117240139677985,26,29
0.03474003541665127,-0.03474003541665127,4,24
0.034681430498925137,0.034681430498925137,29,24
0.031872524047219825,0.031872524047219825,9,23
0.029508891947973737,0.029508891947973737,28,23
0.029107214863767328,0.029107214863767328,19,30
0.028825874460238765,0.028825874460238765,9,29
0.028528966846315673,-0.028528966846315673,3,31
0.028249441298522054,0.028249441298522054,5,24
0.028182823032455784,-0.028182823032455784,24,31
0.028135035166474975,0.028135035166474975,19,26
0.02758345349834257,0.02758345349834257,26,25
0.02744802594274731,-0.02744802594274731,29,31
0.02721965299914536,0.02721965299914536,3,24
0.026729051483857735,0.026729051483857735,25,26
0.02672842486602034,0.02672842486602034,7,22
0.026485146337880128,0.026485146337880128,16,24
0.025935875797893138,0.025935875797893138,10,30
0.0253955232100139,0.0253955232100139,8,24
0.02511055285887867,0.02511055285887867,13,26
0.024579281101993256,0.024579281101993256,28,30
0.02411790140799716,0.02411790140799716,21,25
0.02377819713015006,0.02377819713015006,0,23
