abs_delta,delta,head,layer
0.037244242514369336,-0.037244242514369336,25,26
0.03536607784874929,-0.03536607784874929,0,20
0.03504549506101251,-0.03504549506101251,31,31
0.03503767852420547,-0.03503767852420547,10,31
0.0343875168018796,0.0343875168018796,6,24
0.0333499569845116,-0.0333499569845116,30,31
0.03295179093725786,-0.03295179093725786,26,31
0.03266096155304765,-0.03266096155304765,5,31
0.03199227184302639,0.03199227184302639,16,24
0.031907959762872085,-0.031907959762872085,6,31
0.03063452387377036,-0.03063452387377036,0,24
0.029928772586534258,-0.029928772586534258,12,31
0.02964146846750404,-0.02964146846750404,13,31
0.02936147689502433,-0.02936147689502433,25,31
0.029116445498839627,-0.029116445498839627,24,31
0.028895461380748277,-0.028895461380748277,26,27
0.028401194760472093,-0.028401194760472093,19,31
0.028347105230330016,-0.028347105230330016,0,31
0.02720749935681488,-0.02720749935681488,28,31
0.026993141276807187,-0.026993141276807187,27,31
0.026774461257166315,-0.026774461257166315,24,27
0.026744661813949966,-0.026744661813949966,29,31
0.026260699813780097,0.026260699813780097,5,24
0.025917456337568257,-0.025917456337568257,15,31
0.02573046525891387,-0.02573046525891387,23,31
