abs_delta,delta,head,layer
0.0007222146119719008,-0.0007222146119719008,7,0
8.708862579473974e-05,8.708862579473974e-05,9,0
8.610086419091266e-05,-8.610086419091266e-05,8,0
6.53234307471176e-05,6.53234307471176e-05,11,0
6.52520648354903e-05,-6.52520648354903e-05,4,0
1.0302199105322626e-05,1.0302199105322626e-05,5,0
9.748878464981085e-06,9.748878464981085e-06,2,0
6.807117553001761e-06,-6.807117553001761e-06,0,0
1.4624172213619866e-06,-1.4624172213619866e-06,6,0
0.0,0.0,10,0
nan,nan,8,18
nan,nan,1,19
nan,nan,2,19
nan,nan,0,19
nan,nan,11,18
nan,nan,10,18
nan,nan,9,18
nan,nan,7,18
nan,nan,2,18
nan,nan,5,18
nan,nan,4,18
nan,nan,3,18
nan,nan,3,19
nan,nan,1,18
nan,nan,0,18
