abs_delta,delta,head,layer
0.0006152685328891967,-0.0006152685328891967,9,0
0.0002961333566844828,-0.0002961333566844828,4,0
7.100909430843359e-05,7.100909430843359e-05,7,0
3.126047558345041e-05,-3.126047558345041e-05,11,0
8.145555814108264e-06,-8.145555814108264e-06,0,0
4.585946012587755e-06,-4.585946012587755e-06,10,0
1.9696796261657232e-06,-1.9696796261657232e-06,2,0
1.5341004062797287e-06,-1.5341004062797287e-06,5,0
1.324642602642135e-06,1.324642602642135e-06,8,0
4.976794247850448e-08,4.976794247850448e-08,6,0
nan,nan,1,19
nan,nan,2,19
nan,nan,0,19
nan,nan,11,18
nan,nan,10,18
nan,nan,9,18
nan,nan,8,18
nan,nan,7,18
nan,nan,2,18
nan,nan,5,18
nan,nan,4,18
nan,nan,3,18
nan,nan,3,19
nan,nan,1,18
nan,nan,0,18
