abs_delta,delta,head,layer
0.000277723019248206,-0.000277723019248206,19,0
0.00026075757897170253,-0.00026075757897170253,2,1
0.00019567196486457205,-0.00019567196486457205,11,13
0.00016723387354376958,-0.00016723387354376958,14,1
0.00015343494988998485,-0.00015343494988998485,24,1
0.00013581586024928333,-0.00013581586024928333,23,1
0.00013162905267038484,-0.00013162905267038484,22,1
0.00012986157048908934,-0.00012986157048908934,21,2
0.00011376505782197664,-0.00011376505782197664,10,14
0.00011353100845795747,-0.00011353100845795747,10,1
0.00011216137642322066,0.00011216137642322066,22,3
0.00010959413386643461,-0.00010959413386643461,11,1
0.00010833316817922874,-0.00010833316817922874,18,1
0.00010428145515941224,-0.00010428145515941224,14,6
0.00010251076759513079,0.00010251076759513079,27,3
9.871821617437205e-05,-9.871821617437205e-05,22,0
9.539793891457434e-05,-9.539793891457434e-05,24,24
9.073122936159236e-05,-9.073122936159236e-05,12,2
9.065933939843979e-05,-9.065933939843979e-05,7,1
8.903056968319377e-05,-8.903056968319377e-05,14,3
8.65211634886961e-05,-8.65211634886961e-05,7,2
8.61350123991739e-05,-8.61350123991739e-05,9,8
8.456285807123456e-05,-8.456285807123456e-05,1,2
8.42291933433537e-05,-8.42291933433537e-05,22,13
8.277729857803819e-05,-8.277729857803819e-05,13,1
