abs_delta,delta,head,layer
0.01711787261536346,0.01711787261536346,15,14
0.016147653941557483,0.016147653941557483,27,18
0.013700613659316074,0.013700613659316074,10,16
0.013462566009300181,-0.013462566009300181,11,15
0.013071452429903985,0.013071452429903985,12,17
0.012576329126539887,0.012576329126539887,30,18
0.011942232189746826,0.011942232189746826,16,19
0.011803193535781853,0.011803193535781853,24,13
0.011515397729723126,0.011515397729723126,6,14
0.011127168599107895,0.011127168599107895,9,18
0.010730249203840109,0.010730249203840109,21,13
0.010502288402183091,-0.010502288402183091,21,21
0.01044793460268989,0.01044793460268989,1,14
0.010444131036531967,0.010444131036531967,20,19
0.010080508346540396,0.010080508346540396,14,14
0.010050941326039675,0.010050941326039675,27,7
0.009941453247311105,0.009941453247311105,15,17
0.009777880003258688,-0.009777880003258688,17,7
0.009659863502919364,0.009659863502919364,14,17
0.00964490689598596,-0.00964490689598596,19,11
0.009432974865040411,0.009432974865040411,20,17
0.009348607906378315,0.009348607906378315,0,14
0.009282310122185666,0.009282310122185666,26,15
0.009244663915087659,0.009244663915087659,8,14
0.009216336924765811,0.009216336924765811,17,17
