abs_delta,delta,head,layer
0.010168319235931478,-0.010168319235931478,6,19
0.010091471533156648,-0.010091471533156648,18,20
0.008347904914385307,-0.008347904914385307,18,15
0.00831875990158809,-0.00831875990158809,30,19
0.008231158736681288,-0.008231158736681288,6,21
0.008167221095032706,-0.008167221095032706,17,18
0.00708301483658802,0.00708301483658802,25,7
0.0069732724271044655,0.0069732724271044655,21,20
0.006723871305159862,-0.006723871305159862,20,19
0.006623510821581247,0.006623510821581247,16,20
0.006304450207419876,-0.006304450207419876,25,11
0.005576165103842956,0.005576165103842956,17,21
0.005465041787709124,0.005465041787709124,31,20
0.005458078105583741,0.005458078105583741,24,6
0.005216506331171544,0.005216506331171544,29,17
0.00521356995960276,0.00521356995960276,15,6
0.005201317810335115,0.005201317810335115,31,16
0.004928406038132688,-0.004928406038132688,3,12
0.004833729749803006,0.004833729749803006,14,7
0.00473287474083256,-0.00473287474083256,19,19
0.004707983064555998,0.004707983064555998,29,21
0.004583753876018226,-0.004583753876018226,13,20
0.00457914912783125,0.00457914912783125,4,13
0.004555314204142735,0.004555314204142735,15,7
0.004456808879864771,0.004456808879864771,7,7
