abs_delta,delta,head,layer
0.008691390952175304,0.008691390952175304,10,30
0.008043657343549261,0.008043657343549261,7,30
0.008008923860190559,-0.008008923860190559,2,1
0.00798313973569556,0.00798313973569556,22,25
0.007922429078155095,0.007922429078155095,4,27
0.0067747223560224445,0.0067747223560224445,24,27
0.006311730485605568,0.006311730485605568,31,27
0.005952563507384372,0.005952563507384372,16,27
0.005847775693220356,0.005847775693220356,31,26
0.005793830919125775,0.005793830919125775,26,28
0.005128661364218905,0.005128661364218905,23,27
0.004705507161847332,0.004705507161847332,19,25
0.004307764498516917,0.004307764498516917,0,26
0.004100300552710153,0.004100300552710153,3,28
0.004009377904541311,-0.004009377904541311,13,28
0.003949359412691741,-0.003949359412691741,10,1
0.0037482207054033607,0.0037482207054033607,2,29
0.003740574984956932,-0.003740574984956932,11,30
0.003615034497761689,-0.003615034497761689,15,29
0.0035113858570459122,0.0035113858570459122,6,28
0.003412303407376971,0.003412303407376971,28,28
0.003203969302516412,0.003203969302516412,19,23
0.003162357217037618,-0.003162357217037618,21,30
0.003099884610617675,0.003099884610617675,22,30
0.0030903458993947336,-0.0030903458993947336,10,24
