abs_delta,delta,head,layer
0.1500685622887305,-0.1500685622887305,3,31
0.14991182902403044,-0.14991182902403044,12,30
0.12440582328372529,-0.12440582328372529,21,30
0.09925230599286272,-0.09925230599286272,25,30
0.09261403847856131,0.09261403847856131,8,30
0.08864689555084493,-0.08864689555084493,29,30
0.08761942039456283,-0.08761942039456283,16,31
0.08385491435987907,-0.08385491435987907,22,30
0.08101491768457736,-0.08101491768457736,0,29
0.07744421763029713,0.07744421763029713,4,30
0.07250046067070542,-0.07250046067070542,7,31
0.07173409261898689,-0.07173409261898689,24,31
0.06866203089903666,-0.06866203089903666,11,30
0.06346069110764396,0.06346069110764396,20,29
0.060049245280829056,-0.060049245280829056,10,30
0.05740455207768935,0.05740455207768935,1,27
0.05389877738311277,-0.05389877738311277,5,31
0.04839381399210435,-0.04839381399210435,25,29
0.04823742034142477,0.04823742034142477,18,30
0.04782100754871703,-0.04782100754871703,13,30
0.04744110532671386,-0.04744110532671386,27,30
0.04679498901144108,0.04679498901144108,16,29
0.04402374455106188,-0.04402374455106188,3,30
0.042952973835649555,0.042952973835649555,2,20
0.04255784301729926,-0.04255784301729926,6,31
