abs_delta,delta,head,layer
0.04627981390727226,-0.04627981390727226,5,19
0.04546081632671012,0.04546081632671012,17,29
0.04326941317867228,-0.04326941317867228,12,18
0.03998040156011101,0.03998040156011101,18,20
0.0371536560883276,0.0371536560883276,21,18
0.032089210972871623,-0.032089210972871623,6,31
0.03125414655947023,0.03125414655947023,20,30
0.029627048776549092,0.029627048776549092,22,30
0.029609976410272354,-0.029609976410272354,4,31
0.02872682236022328,0.02872682236022328,16,18
0.028591625676783305,0.028591625676783305,23,17
0.028269499061355507,-0.028269499061355507,17,20
0.027906404554106368,0.027906404554106368,28,29
0.02772198972167156,-0.02772198972167156,17,31
0.027301911851541766,-0.027301911851541766,14,20
0.026997296709438567,0.026997296709438567,17,21
0.02697271539562146,-0.02697271539562146,5,24
0.026872383413910267,-0.026872383413910267,8,16
0.02677808210090525,-0.02677808210090525,18,26
0.026635122373795506,-0.026635122373795506,20,31
0.026335528388231555,-0.026335528388231555,25,27
0.026020187314993393,-0.026020187314993393,29,27
0.02578016865368174,0.02578016865368174,29,22
0.025677921818007265,0.025677921818007265,16,25
0.024655159396986898,-0.024655159396986898,22,16
