abs_delta,delta,head,layer
0.018468169141355045,-0.018468169141355045,27,31
0.01762108515368943,-0.01762108515368943,27,15
0.017361869141339387,-0.017361869141339387,14,31
0.016821835927062267,-0.016821835927062267,17,20
0.012853761457158636,-0.012853761457158636,17,15
0.012153534631677593,-0.012153534631677593,24,16
0.012151153841794327,-0.012151153841794327,4,19
0.012081824246954143,-0.012081824246954143,6,31
0.011363145764564764,-0.011363145764564764,12,16
0.011153014147428059,-0.011153014147428059,22,16
0.011067566402475137,-0.011067566402475137,19,31
0.01102251862951753,-0.01102251862951753,17,31
0.01069722003845891,0.01069722003845891,11,25
0.010635423780657516,-0.010635423780657516,9,19
0.01060902505642558,-0.01060902505642558,23,11
0.010508889343098737,-0.010508889343098737,11,15
0.010331889832667751,-0.010331889832667751,29,30
0.010167799531517696,0.010167799531517696,9,7
0.010065103496266298,-0.010065103496266298,20,31
0.00996145117954278,-0.00996145117954278,18,31
0.009876463808094926,-0.009876463808094926,19,29
0.009858885691229002,-0.009858885691229002,14,29
0.009678281766659136,0.009678281766659136,13,27
0.009559367196969537,-0.009559367196969537,21,15
0.00921421478986062,-0.00921421478986062,8,12
