abs_delta,delta,head,layer
0.029050772236518307,0.029050772236518307,11,21
0.029013350401996568,0.029013350401996568,5,18
0.0271185673981566,-0.0271185673981566,30,28
0.02582064220986663,-0.02582064220986663,11,28
0.023304874735667308,-0.023304874735667308,24,38
0.022946440279541264,-0.022946440279541264,29,28
0.022914620982858264,0.022914620982858264,28,21
0.021464063777890452,-0.021464063777890452,25,14
0.020455643738628432,0.020455643738628432,21,20
0.02014832784381701,0.02014832784381701,9,21
0.01889871185814597,0.01889871185814597,0,20
0.01886347867584376,-0.01886347867584376,18,16
0.01853610675459494,0.01853610675459494,1,18
0.01851338845630457,-0.01851338845630457,3,31
0.01849768472954283,-0.01849768472954283,10,32
0.018013624136494336,0.018013624136494336,11,20
0.017870785897238214,0.017870785897238214,9,20
0.0178164049497523,0.0178164049497523,14,24
0.01748669030281627,-0.01748669030281627,1,20
0.017347962037662507,-0.017347962037662507,26,14
0.017330983803408764,0.017330983803408764,30,21
0.016757109777900236,0.016757109777900236,19,25
0.016756827371162242,-0.016756827371162242,17,22
0.016527424847801564,0.016527424847801564,2,20
0.016438496142700487,0.016438496142700487,12,19
