abs_delta,delta,head,layer
0.010658277574648656,0.010658277574648656,21,31
0.010548638071450456,0.010548638071450456,6,35
0.01020263681586464,-0.01020263681586464,17,31
0.010090252708809588,0.010090252708809588,6,15
0.009947509362472018,-0.009947509362472018,0,27
0.009944260994797283,-0.009944260994797283,18,25
0.009866468315713889,0.009866468315713889,22,38
0.009736019156690784,0.009736019156690784,19,25
0.009508743394164076,0.009508743394164076,0,37
0.009236863386069091,0.009236863386069091,4,19
0.009146776675520107,0.009146776675520107,6,23
0.008928198309901464,0.008928198309901464,22,32
0.008917099276978785,-0.008917099276978785,23,33
0.008773105965393269,0.008773105965393269,30,18
0.008492308063531323,-0.008492308063531323,25,16
0.008396907965755901,0.008396907965755901,8,9
0.008342916428531466,0.008342916428531466,24,31
0.008254714920996165,0.008254714920996165,0,17
0.008176248194910168,0.008176248194910168,0,24
0.008031227481728326,0.008031227481728326,16,25
0.007921451122051282,0.007921451122051282,20,24
0.007867624267148599,0.007867624267148599,20,31
0.0077339015310012305,-0.0077339015310012305,24,5
0.007656030108836545,0.007656030108836545,31,37
0.00760565264930102,0.00760565264930102,21,20
